vindue,vindue_datoer,timeframe,session,kontrakter,stop_ATR,n_barer_ATR,ATR_pct_p50,ATR_pct_p90,ATR_pct_middel,R_usd_ved_ATR_p50,R_usd_ved_ATR_p90,R_usd_middel,omk_usd_rundtur_netto,risiko_pct_af_MLL_brutto_ved_ATR_p90,risiko_pct_af_MLL_netto_ved_ATR_p50,risiko_pct_af_MLL_netto_ved_ATR_p90,omk_R_ved_middel_R,be_WR_pct_ved_middel_R,be_WR_pct_ved_R_p50,variant,WR_akse,WR_rolle,WR_pct,edge_pp_over_be_WR,konsistens_pct,horisont_dage,bestaa_pct_netto_opt,bestaa_CI95_lav_netto_opt,bestaa_CI95_hoej_netto_opt,ruin_pct_netto_opt,ruin_CI95_lav_netto_opt,ruin_CI95_hoej_netto_opt,uafgjort_pct_netto_opt,dage_til_bestaa_p50_netto_opt,dage_til_bestaa_p90_netto_opt,nulmodel_bestaa_pct_netto_opt,bestaa_pp_over_nulmodel_netto_opt,bestaa_pp_over_nulmodel_CI95_lav_netto_opt,bestaa_pp_over_nulmodel_CI95_hoej_netto_opt,pnl_middel_pr_handel_usd_netto_opt,bestaa_pct_netto_pess,bestaa_CI95_lav_netto_pess,bestaa_CI95_hoej_netto_pess,ruin_pct_netto_pess,ruin_CI95_lav_netto_pess,ruin_CI95_hoej_netto_pess,uafgjort_pct_netto_pess,dage_til_bestaa_p50_netto_pess,dage_til_bestaa_p90_netto_pess,nulmodel_bestaa_pct_netto_pess,bestaa_pp_over_nulmodel_netto_pess,bestaa_pp_over_nulmodel_CI95_lav_netto_pess,bestaa_pp_over_nulmodel_CI95_hoej_netto_pess,pnl_middel_pr_handel_usd_netto_pess,bestaa_pct_brutto_opt,bestaa_CI95_lav_brutto_opt,bestaa_CI95_hoej_brutto_opt,ruin_pct_brutto_opt,ruin_CI95_lav_brutto_opt,ruin_CI95_hoej_brutto_opt,uafgjort_pct_brutto_opt,dage_til_bestaa_p50_brutto_opt,dage_til_bestaa_p90_brutto_opt,nulmodel_bestaa_pct_brutto_opt,bestaa_pp_over_nulmodel_brutto_opt,bestaa_pp_over_nulmodel_CI95_lav_brutto_opt,bestaa_pp_over_nulmodel_CI95_hoej_brutto_opt,pnl_middel_pr_handel_usd_brutto_opt,bestaa_pct_brutto_pess,bestaa_CI95_lav_brutto_pess,bestaa_CI95_hoej_brutto_pess,ruin_pct_brutto_pess,ruin_CI95_lav_brutto_pess,ruin_CI95_hoej_brutto_pess,uafgjort_pct_brutto_pess,dage_til_bestaa_p50_brutto_pess,dage_til_bestaa_p90_brutto_pess,nulmodel_bestaa_pct_brutto_pess,bestaa_pp_over_nulmodel_brutto_pess,bestaa_pp_over_nulmodel_CI95_lav_brutto_pess,bestaa_pp_over_nulmodel_CI95_hoej_brutto_pess,pnl_middel_pr_handel_usd_brutto_pess,median_dage_bestaaet_netto_pess,spread_ticks,slippage_ticks_pr_side
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,0.75,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,112.21951569491168,208.43467259070874,129.79848957391323,2.6266577352938434,10.421733629535439,5.742308671510276,10.55306651630013,0.02023642758799673,34.00788091959989,34.11354751712256,basis,absolut,40,40.0,5.99211908040011,55.00000000000001,200,73.01,72.39041116318509,73.62075133751296,26.955,26.34450698211473,27.57434395971114,0.035,42.0,84.0,25.985,47.02499999999999,46.328147607809306,47.71163979047394,22.937282264289816,67.92,67.26969386296317,68.56342356478605,32.065,31.421659137938267,32.71522919539421,0.015,40.0,78.0,22.825,45.095,44.400651428321574,45.77991667539045,22.94180647633821,77.915,77.33476949048874,78.48450913649894,22.05,21.480824195982763,22.629910619553485,0.035,41.0,82.0,25.805,52.11,51.41180118124582,52.79652673531334,25.621111245621346,72.75,72.12860722106034,73.36265513838691,27.245,26.632381222255226,27.8663583386581,0.005,39.0,77.0,22.865,49.885000000000005,49.18652564762867,50.57247674497617,25.594784096582952,40.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,0.75,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,112.21951569491168,208.43467259070874,129.79848957391323,2.6266577352938434,10.421733629535439,5.742308671510276,10.55306651630013,0.02023642758799673,34.00788091959989,34.11354751712256,basis,absolut,45,45.0,10.992119080400109,55.00000000000001,200,93.53,93.18064447614599,93.86263686480956,6.47,6.137363135190443,6.819355523854023,0.0,31.0,61.0,25.985,67.545,66.88890748071965,68.18686077907405,42.62190676653024,91.125,90.72293436773623,91.51127066664915,8.875,8.48872933335084,9.277065632263763,0.0,30.0,59.60000000000218,22.825,68.30000000000001,67.64726454091976,68.93716547122314,42.64848048816714,94.75,94.43221423611723,95.0505985368614,5.25,4.949401463138595,5.567785763882769,0.0,30.0,58.0,25.805,68.94500000000001,68.29651955366404,69.57928177646747,45.235108838955504,92.69,92.32099191073601,93.04261205079378,7.31,6.957387949206222,7.6790080892639905,0.0,29.0,56.0,22.865,69.82499999999999,69.18093707882342,70.45342364698948,45.29907812541311,30.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,0.75,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,112.21951569491168,208.43467259070874,129.79848957391323,2.6266577352938434,10.421733629535439,5.742308671510276,10.55306651630013,0.02023642758799673,34.00788091959989,34.11354751712256,basis,relativ,be,34.00788091959989,0.0,55.00000000000001,200,25.985,25.38186152500963,26.597361966765078,73.865,73.25153343428947,74.46930068475265,0.15,49.0,100.0,25.985,0.0,-0.013456999240926968,0.013456999240926968,-0.18488443135107563,22.825,22.248580834228406,23.411856325420878,77.095,76.507442895175,77.67215067094469,0.08,45.0,91.0,22.825,0.0,-0.014316156243798644,0.014316156243803377,-0.2624359588581322,31.28,30.641094910743362,31.9260949191972,68.56,67.91304518906874,69.19982643252865,0.16,50.0,101.0,25.805,5.475000000000002,5.160111923716606,5.791131857746326,2.481560178484682,27.765,27.148651952803114,28.389887890611863,72.175,71.54971159768839,72.79177160322337,0.06,46.0,93.0,22.865,4.900000000000001,4.6014658607214,5.200369744025018,2.4189977965951543,45.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,0.75,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,112.21951569491168,208.43467259070874,129.79848957391323,2.6266577352938434,10.421733629535439,5.742308671510276,10.55306651630013,0.02023642758799673,34.00788091959989,34.11354751712256,basis,relativ,be+3,37.00788091959989,2.9999999999999973,55.00000000000001,200,50.78,50.08704913800185,51.472651285750636,49.115,48.42239310349078,49.80794680032851,0.105,47.0,96.0,25.985,24.795,24.194837631002386,25.391854039745642,11.53924104789155,46.03,45.340064141931016,46.72146062435445,53.93,53.238503137900075,54.61998745869895,0.04,45.0,89.0,22.825,23.205,22.618786752190637,23.788999386581445,11.58529657156521,56.535,55.84680212086729,57.220687967879435,43.365,42.67951530982636,44.053033008638145,0.1,47.0,95.0,25.805,30.73,30.087990823011495,31.366892291855848,14.116250706589158,51.28,50.587095859019314,51.97241252867707,48.685,47.99260678066979,49.37789827415777,0.035,44.0,87.0,22.865,28.415000000000003,27.787963936608463,29.038158077677306,14.100168026713893,45.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,0.75,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,112.21951569491168,208.43467259070874,129.79848957391323,2.6266577352938434,10.421733629535439,5.742308671510276,10.55306651630013,0.02023642758799673,34.00788091959989,34.11354751712256,basis,relativ,be+6,40.00788091959989,6.0,55.00000000000001,200,73.05,72.43069106236165,73.66045607545195,26.915,26.304802799230515,27.53406350547984,0.035,42.0,84.0,25.985,47.065,46.36810882527442,47.75166671427178,22.95910400278924,67.94,67.28979646885243,68.58331327745454,32.045,31.40176952747908,32.69512648729564,0.015,40.0,78.0,22.825,45.115,44.420620845806845,45.799940632195145,22.957704913214375,77.96,77.38018088688739,78.52908045685523,22.005,21.436253641295128,22.584498457486163,0.035,41.0,82.0,25.805,52.154999999999994,51.45682156290965,52.841494022594425,25.648898854585592,72.8,72.17895206559184,73.41229109024977,27.195,26.58274536858246,27.81601339593648,0.005,39.0,77.0,22.865,49.934999999999995,49.23651636081637,50.62247004051411,25.616504047140328,40.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,0.75,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,112.21951569491168,208.43467259070874,129.79848957391323,2.6266577352938434,10.421733629535439,5.742308671510276,10.55306651630013,0.02023642758799673,34.00788091959989,34.11354751712256,basis,relativ,be+11,45.00788091959989,10.999999999999998,55.00000000000001,200,93.53,93.18064447614599,93.86263686480956,6.47,6.137363135190443,6.819355523854023,0.0,31.0,61.0,25.985,67.545,66.88890748071965,68.18686077907405,42.64295759264475,91.135,90.7331328424132,91.52106835125107,8.865,8.478931648748931,9.266867157586796,0.0,30.0,59.0,22.825,68.31,67.6573185617165,68.94711056795879,42.67461201355968,94.75,94.43221423611723,95.0505985368614,5.25,4.949401463138595,5.567785763882769,0.0,30.0,58.0,25.805,68.94500000000001,68.29651955366404,69.57928177646747,45.25367565313796,92.69,92.32099191073601,93.04261205079378,7.31,6.957387949206222,7.6790080892639905,0.0,29.0,56.0,22.865,69.82499999999999,69.18093707882342,70.45342364698948,45.31764535531499,30.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,0.5,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,74.81301046327445,138.95644839380583,86.53232638260884,2.6266577352938434,6.947822419690291,3.871983409928415,7.079155306454983,0.030354641381995083,34.34515471273317,34.50365460901718,basis,absolut,34,34.0,-0.34515471273316445,55.00000000000001,200,19.295,18.754019985438244,19.847772948767137,74.025,73.41271200109381,74.62806066641036,6.68,96.0,166.0,22.375,-3.079999999999999,-3.3211297074144386,-2.841359208073788,-0.9875612569061473,18.14,17.612077510772135,18.680159026722844,76.96,76.37126709760567,77.53837831824917,4.9,93.0,162.30000000000018,21.055,-2.9149999999999983,-3.1499792330028824,-2.6827455094096666,-1.000289771314584,28.745,28.12190574891149,29.37625770383352,62.52,61.846779644167974,63.188411772987166,8.735,96.0,167.0,22.08,6.664999999999999,6.320055964652585,7.0118504021513,1.6705327505304612,27.34,26.726692045882572,27.96201102818009,66.105,65.4459414701188,66.75787304851409,6.555,93.5,164.0,20.925,6.414999999999998,6.076278626976657,6.755928693728408,1.6712046168318258,93.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,0.5,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,74.81301046327445,138.95644839380583,86.53232638260884,2.6266577352938434,6.947822419690291,3.871983409928415,7.079155306454983,0.030354641381995083,34.34515471273317,34.50365460901718,basis,absolut,37,37.0,2.6548452872668324,55.00000000000001,200,51.985,51.29227957055503,52.676958046302246,40.495,39.816572430832615,41.17707817459394,7.52,92.0,164.0,22.375,29.610000000000003,28.975159093922564,30.24066996270318,6.832372391222775,49.66,48.967195935773624,50.352934648744515,44.535,43.84731451379594,45.224784440297285,5.805,89.0,160.0,21.055,28.605000000000004,27.97686798584973,29.229579833823376,6.821092062891021,64.135,63.4676585732695,64.79691256742441,29.68,29.050804061178976,30.31700028414112,6.185,88.0,159.0,22.08,42.055,41.36666629226837,42.73501102801565,9.436308091727476,61.69,61.01406950317227,62.361440693836,33.465,32.814266783034164,34.12208384934122,4.845,86.0,156.0,20.925,40.765,40.080091890873625,41.44220635483389,9.439038757519882,89.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,0.5,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,74.81301046327445,138.95644839380583,86.53232638260884,2.6266577352938434,6.947822419690291,3.871983409928415,7.079155306454983,0.030354641381995083,34.34515471273317,34.50365460901718,basis,absolut,40,40.0,5.654845287266835,55.00000000000001,200,81.845,81.30467210651699,82.37309711706972,15.245,14.753505157434734,15.749843268825096,2.91,77.0,144.0,22.375,59.47,58.78260904827136,60.14351157569527,14.508029451069461,79.555,78.9904154039098,80.10823334481387,18.12,17.592310559737392,18.659933659199837,2.325,76.0,141.0,21.055,58.5,57.81027080402633,59.17607923177681,14.505307576984183,88.31,87.85733267314846,88.7479535242328,9.945,9.53790762907885,10.367476379375692,1.745,71.0,135.0,22.08,66.23,65.56675811749163,66.87774861937653,17.10597705039398,86.605,86.12592661909845,87.07001442123413,12.025,11.581506583094656,12.48307855536649,1.37,70.0,132.0,20.925,65.68,65.01414424054434,66.3302582141647,17.116637525387084,76.0,,
primaer,2019-05-06 til 2026-09-10,15m,RTH,1,0.5,47868,0.2567541027636573,0.47689082433182034,0.2969741450429296,74.81301046327445,138.95644839380583,86.53232638260884,2.6266577352938434,6.947822419690291,3.871983409928415,7.079155306454983,0.030354641381995083,34.34515471273317,34.50365460901718,basis,absolut,45,45.0,10.654845287266834,55.00000000000001,200,98.195,98.00102203491645,98.37046760963563,1.735,1.563088899201453,1.9254483412943262,0.07,51.0,92.0,22.375,75.82,75.219172689157,76.40628449349931,27.525186658576917,97.535,97.31080561839482,97.74093751375132,2.41,2.206421234192769,2.631856757627269,0.055,51.0,91.0,21.055,76.48,75.8842625999118,77.0601415321142,27.536299112957327,98.905,98.75108895266084,99.04012800069157,1.09,0.955198201982511,1.2435867650256431,0.005,47.0,84.0,22.08,76.825,76.23305127146385,77.40294036225035,30.15116087969022,98.52,98.34308909923779,98.67827572187781,1.475,1.3170034122381498,1.6516336870068038,0.005,47.0,83.0,20.925,77.595,77.0095014848545,78.16554383723143,30.15746161871469,51.0,,
