buffer,BE,side,periode,signaler_sprunget_over_position_n,signaler_sprunget_over_dagslukket_n,zoner_n,beroeringer_n,ugyldig_foer_aktiv_pct,handler_n,censurerede_zoner_n,middel_R_brutto,middel_R_netto,middel_R_netto_ci95_lo,middel_R_netto_ci95_hi,win_rate_pct_netto,win_rate_ci95_lo_pct,win_rate_ci95_hi_pct,udfald_maal_pct,udfald_stop_pct,udfald_BE_pct,udfald_tidsexit_pct,udfald_censureret_pct,tidsexit_middel_R_netto,dage_med_handel_n,handler_pr_dag_middel,strejf_uden_gennemhandling_n,strejf_hvis_fyldt_middel_R_netto,strejf_hvis_fyldt_win_rate_pct_netto,risiko_pt_p10,kontrakter_p10,risiko_pt_p50,kontrakter_p50,risiko_pt_p90,kontrakter_p90,omk_R_netto_p50,kontrakter_maks,afvist_kontrakter_nul_n,N1_middel_R_netto_p5,N1_middel_R_netto_p50,N1_middel_R_netto_p95,N1_handler_n_p50,p_FWE,N2_middel_R_netto_p50
buffer_10,BE_1_0R,supply,2019,112,1850,1085,779,27.37327188940092,93,0,-0.09520315053149102,-0.2676404494838341,-0.4983196728969999,-0.03696122607066826,18.27956989247312,11.737896085455079,27.337784187762526,18.27956989247312,47.31182795698925,27.956989247311828,6.451612903225806,0.0,0.3445944565194905,84,1.1071428571428572,1,1.6815757575757577,100.0,4.399999999999636,6.0,8.524999999999636,14.0,19.360000000000046,28.0,0.1540762463343174,50.0,0,-0.0372094918493525,0.021153358867725472,0.07716277177462964,970.5,,-0.3864219661696603
buffer_10,BE_1_0R,supply,2020,112,1850,1633,1066,32.94549908144519,130,0,0.21645725964000884,0.13404048205480995,-0.08966276418943533,0.3577437282990552,31.53846153846154,24.178319833208572,39.95835319550889,31.53846153846154,41.53846153846154,24.615384615384617,2.3076923076923075,0.0,0.2677887923768447,125,1.04,1,1.967943868212325,100.0,8.524999999999636,2.0,20.625,6.0,50.490000000000514,14.0,0.06368484848484848,50.0,2,-0.0372094918493525,0.021153358867725472,0.07716277177462964,970.5,,-0.3864219661696603
buffer_10,BE_1_0R,supply,2021,112,1850,1630,1093,31.96319018404908,143,0,0.11174357939915566,0.025098368911421236,-0.16790009517434448,0.21809683299718693,24.475524475524477,18.157291934110308,32.12922756367049,24.475524475524477,37.76223776223776,29.37062937062937,8.391608391608392,0.0,0.043153379633655474,131,1.0916030534351144,2,0.8655523239235812,50.0,8.16750000000011,2.0,19.524999999999636,6.0,51.589999999999606,15.0,0.06727272727272852,30.0,1,-0.0372094918493525,0.021153358867725472,0.07716277177462964,970.5,,-0.3864219661696603
buffer_10,BE_1_0R,supply,2022,112,1850,1728,1194,28.53009259259259,143,0,0.2547325932811696,0.2004988105788791,-0.004000605561167575,0.4049982267189258,29.37062937062937,22.523863267653745,37.296748381237585,29.37062937062937,36.36363636363637,30.06993006993007,4.195804195804196,0.0,0.8048253582318762,129,1.1085271317829457,2,0.9340266563146924,50.0,15.125,1.0,33.82500000000073,3.0,77.99000000000036,8.0,0.038832224685882384,23.0,4,-0.0372094918493525,0.021153358867725472,0.07716277177462964,970.5,,-0.3864219661696603
buffer_10,BE_1_0R,supply,2023,112,1850,1648,1110,31.432038834951456,157,1,0.15652013523563837,0.07511976108290483,-0.10900642993505444,0.2592459521008641,25.477707006369428,19.30397581328996,32.822795129617546,25.477707006369428,35.6687898089172,33.75796178343949,5.095541401273885,0.0,0.1588689714247843,138,1.1376811594202898,1,1.9379693034238468,100.0,8.910000000000402,2.0,21.174999999999272,5.0,50.022499999999866,13.300000000000011,0.062030696576153246,34.0,0,-0.0372094918493525,0.021153358867725472,0.07716277177462964,970.5,,-0.3864219661696603
buffer_10,BE_1_2R,alle,2019-2023,87,1948,15650,10749,29.34185303514377,1303,5,0.150135163105375,0.05731883523705775,-0.010691604396441026,0.1253292748705565,27.935533384497315,25.566899328283522,30.43388438431117,27.935533384497315,42.82425172678435,23.177283192632387,6.062931696085956,0.0,0.39318863653602654,1095,1.1899543378995434,11,0.828965848666265,54.54545454545455,7.424999999999272,2.0,20.899999999999636,5.0,55.274999999999636,16.0,0.06284688995215419,50.0,18,-0.0424418060375689,0.022584188041987766,0.07901458171567213,935.0,,-0.3920899842967347
buffer_10,BE_1_2R,alle,2019,87,1948,2190,1538,27.80821917808219,187,0,-0.02106442615584979,-0.21577401687996162,-0.38598481482705876,-0.04556321893286447,21.925133689839573,16.593109156479326,28.3873994558274,21.925133689839573,46.524064171122994,24.59893048128342,6.951871657754011,0.0,0.2149139022522649,158,1.1835443037974684,2,0.2780638528138367,50.0,4.125,6.0,8.800000000000182,14.0,20.51499999999997,30.0,0.14926136363636053,50.0,0,-0.0424418060375689,0.022584188041987766,0.07901458171567213,935.0,,-0.3920899842967347
buffer_10,BE_1_2R,alle,2020,87,1948,3375,2330,28.68148148148148,283,0,0.1658200223429968,0.07965665702370711,-0.07033701111643978,0.229650325163854,29.681978798586574,24.66011533793231,35.248051189735854,29.681978798586574,44.522968197879855,21.554770318021202,4.240282685512367,0.0,0.5210989444192922,236,1.1991525423728813,2,0.40164665001522404,50.0,8.25,2.0,20.350000000000364,6.0,50.875,15.0,0.06454545454545339,50.0,4,-0.0424418060375689,0.022584188041987766,0.07901458171567213,935.0,,-0.3920899842967347
buffer_10,BE_1_2R,alle,2021,87,1948,3284,2243,29.90255785627284,280,0,0.13265185277055855,0.04694814087047036,-0.09706315602287155,0.19095943776381227,26.785714285714285,21.93851274733528,32.261271688622514,26.785714285714285,41.785714285714285,22.142857142857142,9.285714285714286,0.0,0.18616281382478628,235,1.1914893617021276,2,0.8655523239235812,50.0,8.525000000000546,2.0,20.350000000000364,6.0,52.38749999999982,14.0,0.06454545454545339,37.0,2,-0.0424418060375689,0.022584188041987766,0.07901458171567213,935.0,,-0.3920899842967347
buffer_10,BE_1_2R,alle,2022,87,1948,3440,2387,29.040697674418606,277,0,0.2112222618218495,0.1584846903465856,0.005847445402395346,0.31112193529077586,30.32490974729242,25.211341509338205,35.9767250753778,30.32490974729242,43.32129963898917,21.660649819494584,4.693140794223827,0.0,0.857843525233402,237,1.1687763713080168,2,0.9340266563146924,50.0,15.125,1.0,33.82500000000073,3.0,75.02000000000045,8.0,0.038832224685882384,34.0,11,-0.0424418060375689,0.022584188041987766,0.07901458171567213,935.0,,-0.3920899842967347
