kontrakter,stop_ATR,WR_pct,omk,brudmodel,maal,pct_v1,CI95_lav_v1,CI95_hoej_v1,pct_v2,afvigelse_pp,inden_for_CI,identisk
2,0.5,37.0,netto,pess,bestaa,46.12,45.43,46.812,46.125,0.005,True,True
2,0.5,37.0,netto,pess,ruin,48.44,47.748,49.133,48.435,-0.005,True,True
2,0.5,37.0,netto,pess,uafgjort,5.44,5.134,5.763,5.44,0.0,True,True
2,0.5,37.0,brutto,opt,bestaa,69.81,69.17,70.442,69.81,0.0,True,True
2,0.5,37.0,brutto,opt,ruin,25.11,24.514,25.716,25.105,-0.005,True,True
2,0.5,37.0,brutto,opt,uafgjort,5.08,4.784,5.393,5.085,0.005,True,True
2,0.5,37.0,brutto,pess,bestaa,68.06,67.41,68.703,68.065,0.005,True,True
2,0.5,37.0,brutto,pess,ruin,27.79,27.173,28.415,27.785,-0.005,True,True
2,0.5,37.0,brutto,pess,uafgjort,4.15,3.882,4.435,4.15,0.0,True,True
2,0.5,40.0,netto,opt,bestaa,82.53,81.998,83.05,82.535,0.005,True,True
2,0.5,40.0,netto,opt,ruin,15.16,14.67,15.664,15.165,0.005,True,True
2,0.5,40.0,netto,opt,uafgjort,2.3,2.101,2.517,2.3,0.0,True,True
2,0.5,40.0,netto,pess,bestaa,80.56,80.006,81.103,80.56,0.0,True,True
2,0.5,40.0,netto,pess,ruin,17.69,17.167,18.225,17.69,0.0,True,True
2,0.5,40.0,netto,pess,uafgjort,1.75,1.577,1.941,1.75,0.0,True,True
2,0.5,40.0,brutto,opt,bestaa,92.67,92.301,93.023,92.665,-0.005,True,True
2,0.5,40.0,brutto,opt,ruin,6.59,6.254,6.942,6.595,0.005,True,True
2,0.5,40.0,brutto,opt,uafgjort,0.74,0.63,0.869,0.74,0.0,True,True
2,0.5,40.0,brutto,pess,bestaa,91.47,91.075,91.849,91.465,-0.005,True,True
2,0.5,40.0,brutto,pess,ruin,7.91,7.544,8.292,7.905,-0.005,True,True
2,0.5,40.0,brutto,pess,uafgjort,0.63,0.529,0.75,0.63,0.0,True,True
2,0.5,45.0,netto,opt,bestaa,98.53,98.354,98.688,98.535,0.005,True,True
2,0.5,45.0,netto,opt,ruin,1.45,1.293,1.625,1.445,-0.005,True,True
2,0.5,45.0,netto,opt,uafgjort,0.02,0.008,0.051,0.02,0.0,True,True
2,0.5,45.0,netto,pess,bestaa,98.03,97.828,98.214,98.03,0.0,True,True
2,0.5,45.0,netto,pess,ruin,1.95,1.767,2.151,1.95,0.0,True,True
2,0.5,45.0,netto,pess,uafgjort,0.02,0.008,0.051,0.02,0.0,True,True
2,0.5,45.0,brutto,opt,bestaa,99.56,99.458,99.643,99.56,0.0,True,True
2,0.5,45.0,brutto,opt,ruin,0.44,0.357,0.542,0.44,0.0,True,True
2,0.5,45.0,brutto,opt,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,0.5,45.0,brutto,pess,bestaa,99.28,99.153,99.388,99.285,0.005,True,True
2,0.5,45.0,brutto,pess,ruin,0.71,0.603,0.836,0.715,0.005,True,True
2,0.5,45.0,brutto,pess,uafgjort,0.0,0.0,0.019,0.0,0.0,True,True
2,0.75,34.0,netto,opt,bestaa,22.98,22.402,23.568,22.985,0.005,True,True
2,0.75,34.0,netto,opt,ruin,76.93,76.341,77.509,76.93,0.0,True,True
2,0.75,34.0,netto,opt,uafgjort,0.09,0.057,0.142,0.085,-0.005,True,True
2,0.75,34.0,netto,pess,bestaa,20.95,20.392,21.52,20.955,0.005,True,True
2,0.75,34.0,netto,pess,ruin,79.0,78.43,79.559,79.0,0.0,True,True
2,0.75,34.0,netto,pess,uafgjort,0.04,0.02,0.079,0.045,0.005,True,True
2,0.75,34.0,brutto,opt,bestaa,31.68,31.039,32.328,31.68,0.0,True,True
