periode,timeframe,session,n_barer,n_barer_ATR_nul,ATR_pct_p10,ATR_pct_p50,ATR_pct_p90,R_usd_p10,R_usd_p50,R_usd_p90,risiko_pct_af_MLL_brutto_p50,risiko_pct_af_MLL_brutto_p90,risiko_pct_af_MLL_netto_p50,risiko_pct_af_MLL_netto_p90,omk_R_netto_p50,omk_R_netto_p90,be_WR_pct_brutto,be_WR_pct_netto_p50,be_WR_pct_netto_p90
2014,3m,RTH,26730,0,0.044039411841334565,0.0785159147822449,0.14533260724611138,25.664407644656137,45.755934498501034,84.69403019874386,2.2877967249250517,4.234701509937194,2.4112967249250516,4.358201509937193,0.053982068710378334,0.09624223713845943,33.33333333333333,35.132735623679274,36.54140790461531
2014,5m,RTH,16038,0,0.06044537684653745,0.10242795748492996,0.187404687183376,35.22514781108816,59.690916503917784,109.21195550298421,2.984545825195889,5.4605977751492105,3.108045825195889,5.5840977751492105,0.04137983041956747,0.07012035874384655,33.33333333333333,34.71266101398558,35.67067862479489
2014,15m,RTH,5346,0,0.115535250067161,0.17898090881585266,0.3128944010918808,67.32932232913875,104.30291442152628,182.34234118030446,5.215145721076315,9.117117059015223,5.338645721076315,9.240617059015223,0.023681025937247455,0.03668535367897047,33.33333333333333,34.12270086457492,34.55617845596568
2014,1m,døgn,247768,0,0.007821003332855988,0.019293905637728787,0.0584925545395126,4.557767902255156,11.243716449442829,34.08712108344637,0.5621858224721414,1.7043560541723182,0.6856858224721414,1.8278560541723183,0.21967825417518286,0.5419319397062727,33.33333333333333,40.65594180583943,51.39773132354243
2014,3m,døgn,89774,0,0.013454369217796292,0.03501462083697848,0.09769727865352022,7.840668205362967,20.405120438957585,56.93406610812544,1.0202560219478793,2.846703305406272,1.1437560219478793,2.970203305406272,0.12104804808146141,0.3150241713908084,33.33333333333333,37.36826826938205,43.834139046360285
2014,5m,døgn,54581,0,0.019235155458651378,0.04753249778801426,0.12345355485874812,11.209479195083677,27.70003841094319,71.94379362948405,1.3850019205471595,3.5971896814742026,1.5085019205471595,3.7206896814742025,0.08916955144091789,0.22034922024596004,33.33333333333333,36.30565171469726,40.678307341532
2014,15m,døgn,18567,0,0.045833022260007,0.09241524549118285,0.19625445914913545,26.709652052241676,53.85590846244172,114.36924861375017,2.692795423122086,5.718462430687509,2.816295423122086,5.841962430687509,0.04586312013885236,0.09247593334334932,33.33333333333333,34.862104004628414,36.415864444778315
2015,1m,RTH,87161,0,0.02742593162114134,0.050146380859766686,0.09574002765264118,15.982735911536327,29.223304909837633,55.79345851485318,1.4611652454918818,2.789672925742659,1.5846652454918817,2.913172925742659,0.08452158329185101,0.15454175140422335,33.33333333333333,36.1507194430617,38.48472504680744
2015,3m,RTH,29054,0,0.0518605129796144,0.09058523879579407,0.16377041440301685,30.222232544000086,52.789453760636945,95.4388466975021,2.6394726880318475,4.771942334875105,2.7629726880318475,4.895442334875105,0.04678964883977933,0.0817279133959541,33.33333333333333,34.89298829465932,36.05759711319847
2015,5m,RTH,17433,0,0.0711261711621331,0.11750491259708011,0.20759957329922815,41.44948750644469,68.4771628650744,120.98072733585819,3.4238581432537205,6.049036366792909,3.5473581432537205,6.172536366792909,0.03607041963562105,0.05959060415457563,33.33333333333333,34.535680654520704,35.31968680515252
2015,15m,RTH,5811,0,0.13576808406134516,0.20492747916079224,0.35787075855641987,79.12020866758951,119.42353775574328,208.55276325633923,5.9711768877871645,10.427638162816962,6.094676887787164,10.551138162816962,0.020682689915382396,0.031218320092876617,33.33333333333333,34.02275633051275,34.373944003095886
2015,1m,døgn,281478,0,0.009436539128966265,0.025829124243152302,0.06994617750292158,5.499237542796381,15.052180443939436,40.761834401602584,0.7526090221969719,2.0380917200801294,0.8761090221969718,2.1615917200801293,0.16409582712852605,0.44915317456411613,33.33333333333333,38.80319423761753,48.305105818803874
2015,3m,døgn,99921,0,0.016734675530669717,0.04698867852619157,0.11801247449410193,9.752299512253085,27.3831222979234,68.77294963618284,1.36915611489617,3.438647481809142,1.49265611489617,3.5621474818091423,0.0902015472569873,0.25327359941074584,33.33333333333333,36.340051575232906,41.77578664702486
2015,5m,døgn,60597,0,0.02374375599350097,0.06355411203517768,0.1500917151796623,13.836911242772626,37.03679432962014,87.46744793810001,1.851839716481007,4.373372396905,1.9753397164810071,4.496872396905,0.06669043702911999,0.17850804693294423,33.33333333333333,35.556347900970664,39.28360156443148
2015,15m,døgn,20537,0,0.05711840622931311,0.11787352459050777,0.24328880729716992,33.28632241419451,68.69197519036432,141.77898534049876,3.434598759518216,7.088949267024938,3.5580987595182156,7.212449267024938,0.035957620859714,0.07420465386654997,33.33333333333333,34.531920695323805,35.80682179555166
2016,1m,RTH,98100,0,0.023852161749298006,0.04391353710457113,0.09576284722901023,13.900085781020906,25.591052883059874,55.806756851177994,1.2795526441529934,2.7903378425589,1.4030526441529936,2.9138378425589,0.09651810776785652,0.1776967451074778,33.33333333333333,36.55060359226188,39.256558170249264
2016,3m,RTH,32700,0,0.04515674362997851,0.07944601172687255,0.16531623578214552,26.315543917806277,46.29795779395224,96.33968956440312,2.3148978896976122,4.8169844782201565,2.4383978896976126,4.9404844782201565,0.05335008535627085,0.09386087582742698,33.33333333333333,35.1116695118757,36.46202919424757
2016,5m,RTH,19620,0,0.061416712966169004,0.10388573079684618,0.21089347097770897,35.79120364816465,60.54044847917008,122.90027914696968,3.027022423958504,6.1450139573484845,3.1505224239585035,6.2685139573484845,0.04079916926790159,0.06901137006767837,33.33333333333333,34.69330564226338,35.63371233558928
2016,15m,RTH,6540,0,0.11749206099046793,0.1841423917766455,0.3519932010838625,68.46967346280509,107.31082023175793,205.12755786363172,5.365541011587896,10.256377893181586,5.489041011587896,10.379877893181586,0.023017250268596183,0.0360743653739147,33.33333333333333,34.10057500895321,34.53581217913049
2016,1m,døgn,336245,0,0.009064021448004665,0.023650521745947364,0.06391769418486166,5.282149139039198,13.782578052668285,37.24867546316998,0.6891289026334142,1.8624337731584992,0.8126289026334141,1.985933773158499,0.17921175490980168,0.46761269607968065,33.33333333333333,39.30705849699339,48.920423202656025
2016,3m,døgn,116433,0,0.017074920695683136,0.043697573347405184,0.10933776798221315,9.950580784616303,25.465197843933844,63.71767766931453,1.2732598921966922,3.1858838834657264,1.3967598921966922,3.3093838834657263,0.09699512311420694,0.24822671700303153,33.33333333333333,36.5665041038069,41.607557233434385
