spor,tabel,noegle,stoerrelse,vaerdi
A,score_bedste_fald,3,holder_ci95_lo_pct,43.60942456108096
A,score_bedste_fald,3,holder_ci95_hi_pct,50.10502249627723
A,score_bedste_fald,3,tvetydige_n,6.0
A,score_bedste_fald,3,tvetydige_pct,0.6644518272425249
A,score_bedste_fald,3,udfald_maal_pct,24.363233665559246
A,score_bedste_fald,3,udfald_stop_pct,52.602436323366554
A,score_bedste_fald,3,udfald_BE_pct,13.399778516057586
A,score_bedste_fald,3,udfald_tidsexit_pct,9.634551495016611
A,score_bedste_fald,3,udfald_censureret_pct,0.0
A,score_bedste_fald,4,handler_n,599.0
A,score_bedste_fald,4,dage_med_handel_n,435.0
A,score_bedste_fald,4,middel_R_brutto,0.006186144744560988
A,score_bedste_fald,4,middel_R_netto,-0.09885145362353076
A,score_bedste_fald,4,middel_R_netto_ci95_lo,-0.20130048664724803
A,score_bedste_fald,4,middel_R_netto_ci95_hi,0.0035975794001865125
A,score_bedste_fald,4,win_rate_pct_netto,25.375626043405678
A,score_bedste_fald,4,win_rate_ci95_lo_pct,22.055272960342354
A,score_bedste_fald,4,win_rate_ci95_hi_pct,29.009804651092608
A,score_bedste_fald,4,holder_pct,47.412353923205345
A,score_bedste_fald,4,holder_ci95_lo_pct,43.44283772711762
A,score_bedste_fald,4,holder_ci95_hi_pct,51.414848394762004
A,score_bedste_fald,4,tvetydige_n,5.0
A,score_bedste_fald,4,tvetydige_pct,0.8347245409015025
A,score_bedste_fald,4,udfald_maal_pct,25.375626043405678
A,score_bedste_fald,4,udfald_stop_pct,53.08848080133556
A,score_bedste_fald,4,udfald_BE_pct,14.858096828046744
A,score_bedste_fald,4,udfald_tidsexit_pct,6.67779632721202
A,score_bedste_fald,4,udfald_censureret_pct,0.0
A,score_bedste_fald,5+,handler_n,305.0
A,score_bedste_fald,5+,dage_med_handel_n,247.0
A,score_bedste_fald,5+,middel_R_brutto,0.0691983447857497
A,score_bedste_fald,5+,middel_R_netto,-0.024801888820079804
A,score_bedste_fald,5+,middel_R_netto_ci95_lo,-0.17340702850884085
A,score_bedste_fald,5+,middel_R_netto_ci95_hi,0.12380325086868124
A,score_bedste_fald,5+,win_rate_pct_netto,28.852459016393443
A,score_bedste_fald,5+,win_rate_ci95_lo_pct,24.055629042553896
A,score_bedste_fald,5+,win_rate_ci95_hi_pct,34.17536737464206
A,score_bedste_fald,5+,holder_pct,47.540983606557376
A,score_bedste_fald,5+,holder_ci95_lo_pct,42.00187992685497
A,score_bedste_fald,5+,holder_ci95_hi_pct,53.14125919142363
A,score_bedste_fald,5+,tvetydige_n,3.0
A,score_bedste_fald,5+,tvetydige_pct,0.9836065573770492
A,score_bedste_fald,5+,udfald_maal_pct,28.852459016393443
A,score_bedste_fald,5+,udfald_stop_pct,51.80327868852459
A,score_bedste_fald,5+,udfald_BE_pct,13.114754098360656
A,score_bedste_fald,5+,udfald_tidsexit_pct,6.229508196721311
A,score_bedste_fald,5+,udfald_censureret_pct,0.0
A,diagnose_kriterier,f1_brud,sand_n,1973.0
A,diagnose_kriterier,f1_brud,falsk_n,1313.0
A,diagnose_kriterier,f1_brud,sand_middel_R_netto,-0.10384218886919516
A,diagnose_kriterier,f1_brud,falsk_middel_R_netto,0.007836094092096116
A,diagnose_kriterier,f1_brud,forskel_R_netto,-0.11167828296129127
A,diagnose_kriterier,f1_brud,forskel_ci95_lo,-0.19845783523319768
A,diagnose_kriterier,f1_brud,forskel_ci95_hi,-0.024898730689384863
A,diagnose_kriterier,f2_flip,sand_n,317.0
A,diagnose_kriterier,f2_flip,falsk_n,2969.0
A,diagnose_kriterier,f2_flip,sand_middel_R_netto,0.014229606245826264
A,diagnose_kriterier,f2_flip,falsk_middel_R_netto,-0.067060502619039
A,diagnose_kriterier,f2_flip,forskel_R_netto,0.08129010886486526
A,diagnose_kriterier,f2_flip,forskel_ci95_lo,-0.06688282187211134
A,diagnose_kriterier,f2_flip,forskel_ci95_hi,0.22946303960184186
A,diagnose_kriterier,f3_sweep,sand_n,494.0
A,diagnose_kriterier,f3_sweep,falsk_n,2792.0
A,diagnose_kriterier,f3_sweep,sand_middel_R_netto,-0.000836169157385013
