kontrakter,stop_ATR,R_pr_kontrakt_usd,risiko_pr_handel_usd,risiko_pct_af_MLL,omk_R_netto,be_WR_pct,antaget_WR_pct,edge_pp,bestaa_pct_netto_opt,bestaa_CI_netto_opt,ruin_pct_netto_opt,ruin_CI_netto_opt,uafgjort_pct_netto_opt,median_dage_bestaaet,bestaa_pct_netto_pess,bestaa_CI_netto_pess,ruin_pct_netto_pess,ruin_CI_netto_pess,uafgjort_pct_netto_pess,bestaa_pct_brutto_opt,bestaa_CI_brutto_opt,ruin_pct_brutto_opt,ruin_CI_brutto_opt,uafgjort_pct_brutto_opt,bestaa_pct_brutto_pess,bestaa_CI_brutto_pess,ruin_pct_brutto_pess,ruin_CI_brutto_pess,uafgjort_pct_brutto_pess
3,0.5,49.79,156.8,7.84,0.0496,34.99,37.0,2.01,44.8,"[44.1, 45.5]",55.15,"[54.5, 55.8]",0.05,47.0,40.89,"[40.2, 41.6]",59.08,"[58.4, 59.8]",0.03,60.55,"[59.9, 61.2]",39.4,"[38.7, 40.1]",0.05,56.13,"[55.4, 56.8]",43.85,"[43.2, 44.5]",0.02
3,0.5,49.79,156.8,7.84,0.0496,34.99,40.0,5.01,70.89,"[70.3, 71.5]",29.09,"[28.5, 29.7]",0.03,41.0,66.8,"[66.1, 67.4]",33.2,"[32.5, 33.9]",0.01,81.63,"[81.1, 82.2]",18.36,"[17.8, 18.9]",0.01,77.97,"[77.4, 78.5]",22.02,"[21.5, 22.6]",0.0
3,0.5,49.79,156.8,7.84,0.0496,34.99,45.0,10.01,93.33,"[93.0, 93.7]",6.67,"[6.3, 7.0]",0.0,29.0,91.19,"[90.8, 91.6]",8.81,"[8.4, 9.2]",0.0,96.44,"[96.2, 96.7]",3.56,"[3.3, 3.8]",0.0,95.0,"[94.7, 95.3]",5.0,"[4.7, 5.3]",0.0
3,0.75,74.69,231.49,11.57,0.0331,34.44,34.0,-0.44,24.19,"[23.6, 24.8]",75.81,"[75.2, 76.4]",0.0,23.0,21.08,"[20.5, 21.7]",78.92,"[78.3, 79.5]",0.0,28.98,"[28.4, 29.6]",71.03,"[70.4, 71.6]",0.0,25.11,"[24.5, 25.7]",74.89,"[74.3, 75.5]",0.0
3,0.75,74.69,231.49,11.57,0.0331,34.44,37.0,2.56,43.35,"[42.7, 44.0]",56.65,"[56.0, 57.3]",0.0,23.0,38.05,"[37.4, 38.7]",61.95,"[61.3, 62.6]",0.0,48.37,"[47.7, 49.1]",51.63,"[50.9, 52.3]",0.0,42.28,"[41.6, 43.0]",57.72,"[57.0, 58.4]",0.0
3,0.75,74.69,231.49,11.57,0.0331,34.44,40.0,5.56,63.03,"[62.4, 63.7]",36.97,"[36.3, 37.6]",0.0,21.0,56.8,"[56.1, 57.5]",43.2,"[42.5, 43.9]",0.0,67.11,"[66.5, 67.8]",32.89,"[32.2, 33.5]",0.0,60.35,"[59.7, 61.0]",39.65,"[39.0, 40.3]",0.0
3,0.75,74.69,231.49,11.57,0.0331,34.44,45.0,10.56,85.48,"[85.0, 86.0]",14.52,"[14.0, 15.0]",0.0,17.0,80.05,"[79.5, 80.6]",19.95,"[19.4, 20.5]",0.0,87.09,"[86.6, 87.5]",12.91,"[12.5, 13.4]",0.0,82.08,"[81.5, 82.6]",17.91,"[17.4, 18.5]",0.0
3,1.0,99.59,306.18,15.31,0.0248,34.16,34.0,-0.16,26.68,"[26.1, 27.3]",73.31,"[72.7, 73.9]",0.0,15.0,22.32,"[21.7, 22.9]",77.68,"[77.1, 78.3]",0.0,27.97,"[27.4, 28.6]",72.03,"[71.4, 72.6]",0.0,23.27,"[22.7, 23.9]",76.73,"[76.1, 77.3]",0.0
3,1.0,99.59,306.18,15.31,0.0248,34.16,37.0,2.84,40.61,"[39.9, 41.3]",59.39,"[58.7, 60.1]",0.0,15.0,34.28,"[33.6, 34.9]",65.72,"[65.1, 66.4]",0.0,42.29,"[41.6, 43.0]",57.71,"[57.0, 58.4]",0.0,35.56,"[34.9, 36.2]",64.44,"[63.8, 65.1]",0.0
3,1.0,99.59,306.18,15.31,0.0248,34.16,40.0,5.84,57.67,"[57.0, 58.4]",42.33,"[41.6, 43.0]",0.0,14.0,49.72,"[49.0, 50.4]",50.28,"[49.6, 51.0]",0.0,59.12,"[58.4, 59.8]",40.88,"[40.2, 41.6]",0.0,50.85,"[50.2, 51.5]",49.15,"[48.5, 49.8]",0.0
3,1.0,99.59,306.18,15.31,0.0248,34.16,45.0,10.84,78.38,"[77.8, 78.9]",21.62,"[21.1, 22.2]",0.0,12.0,70.98,"[70.3, 71.6]",29.02,"[28.4, 29.7]",0.0,79.11,"[78.5, 79.7]",20.89,"[20.3, 21.5]",0.0,71.59,"[71.0, 72.2]",28.41,"[27.8, 29.0]",0.0
